id_recepta,st_koraka,korak
6,0,"In a small bowl, whisk together the soy sauce, honey, garlic, ginger, and cornstarch. Set aside."

6,1,"Add the sesame oil to a large deep skillet over medium-high heat. Add the beef and onion and cook, stirring occasionally, until the meat is just about cooked through, about 5 minutes."

6,2,"Pour in the reserved sauce, stir to combine, and cook for 1 minute. Add the broccoli and cook for 1 more minute."

6,3,"Divide mixture evenly among 4 plates or shallow bowls, layering rice first, if using."

6,4,Top each with sesame seeds and scallions.

7,0,Preheat oven to 400 degrees F.\u00a0 Spray 2 sheet pans with olive oil.

7,1,Divide mushrooms evenly among the 2 prepared sheet pans.

7,2,"Drizzle each with 1 tablespoon olive oil, \u00bc teaspoon kosher salt, pepper and half the fresh thyme then toss to evenly coat.\u00a0 Spread the mushrooms out in an even layer."

7,3,"Roast mushrooms for 20 minutes, mixing then rotating pans halfway through cooking."

7,4,"Top with Parmesan, a drizzle of balsamic vinegar and garnish with more fresh thyme."

8,0,"Heat olive oil in a large skillet on medium-low heat and add scallions and tomatoes. Season with a pinch of salt and cook until tender, 3 to 5 minutes."

8,1,Mix eggs and egg whites in a bowl and season with salt and pepper.

8,2,"Add the eggs to the skillet and stir, cook until they set, about 2-3 minutes."

9,0,"In a bowl, mix the marinade ingredients except the chicken. Slice the chicken into long, thin strips, about 3 inches long by 1 inch wide, and add to marinade. Turn chicken to coat, cover and refrigerate at least 4 hours or longer."

9,1,"Meanwhile, prepare the peanut sauce. Combine all the ingredients in a small saucepan and whisk well. Bring to a boil, reduce heat and cook until smooth, stirring constantly, about 5 minutes. Set aside to cool to room temperature."

9,2,"Prepare grill to high heat and thread marinated chicken onto soaked bamboo skewers. Place on grill and cook 2 to 3 minutes per side, or until cooked through. Serve with lime wedges and peanut sauce and garnish with cilantro and peanuts."

10,0,"Combine tuna with minced carrots, celery, red onion, mayonnaise, vinegar, salt and pepper."

10,1,Place lettuce on toasted bread.

10,2,"Top with tomato, tuna, avocado and sprouts."

11,0,"Season the beef with salt, sazon, cumin, dried oregano, garlic powder and black pepper."

11,1,"In a medium bowl whisk together tomato paste, white wine and chicken broth."

11,2,"Press saute and add the oil in the instant pot, add the onions, bell peppers and garlic.\u00a0 Saute 3 to 4 minutes stirring, until softened then press cancel."

11,3,"Nestle the meat into the onions so that half are on the bottom and half are above the meat. Add the carrots, olives and bay leaves (and cilantro, if using)."

11,4,"Pour the tomato sauce over the meat, cover and close the pressure cooker."

11,5,Set to sealing and cook high pressure for 45 minutes. Then unplug the instant pot and do the natural release.

11,6,Shred the beef in the pot and discard the bay leaves.

11,7,"Serve with rice, over bowls, tacos, etc. topped with more cilantro, if desired."

11,8,"Season the beef with salt, sazon, cumin, dried oregano, garlic powder and black pepper."

11,9,"In a medium bowl whisk together tomato paste, white wine and 3 cups of chicken broth (you\u2019ll need more on the stove with evaporation than the Instant Pot)."

11,10,"Heat a large Dutch oven and add the oil, onions, bell peppers and garlic.\u00a0 Saute over medium-high heat 3 to 4 minutes stirring, until softened."

11,11,"Nestle the meat into the onions so that half are on the bottom and half are above the meat. Add the carrots, olives and bay leaves (and cilantro, if using)."

11,12,"Pour the tomato sauce mixture over the meat, bring to a boil and cover."

11,13,"Reduce heat to low and simmer until the meat shreds easily with 2 forks, 1 1\/2 to 2 hours, adding more water if it gets too dry."

11,14,Shred the beef in the pot and discard the bay leaves.

11,15,"Serve with rice, over bowls, tacos, etc. topped with more cilantro, if desired."

12,0,"Blend half the banana with the frozen mango, spinach, protein milk and yogurt."

12,1,"Pour in a bowl and top with diced mango, strawberries and coconut flakes."

14,0,Preheat oven to 350F.

14,1,"In a large bowl, combine flour, sugar, coconut, baking soda, salt, and spices; stir well with a whisk."

14,2,"In a medium bowl, combine oil, eggs, and vanilla; stir well."

14,3,Add grated carrots and pineapple; mix well.

14,4,"Fold wet ingredients with the dry ingredients, batter will be stiff and dry but keep folding it and it will all come together. Fold in 1\/4 cup chopped nuts."

14,5,Spoon batter into an 8&quot; x 3&quot; cake pan coated with cooking spray.

14,6,"Bake at 350\u00b0 for about 40-50 minutes, depending on pan size or until a wooden toothpick inserted in the center comes out clean and cake is pulling away from sides of pan. Cool cake completely on a wire rack."

14,7,"To prepare frosting, beat together cream cheese, powdered sugar and vanilla until smooth. Spread frosting over top of cake."

14,8,Garnish with remaining chopped walnuts.

16,0,Preheat oven to 350F.

16,1,"In a large bowl, combine flour, sugar, coconut, baking soda, salt, and spices; stir well with a whisk."

16,2,"In a medium bowl, combine oil, eggs, and vanilla; stir well."

16,3,Add grated carrots and pineapple; mix well.

16,4,"Fold wet ingredients with the dry ingredients, batter will be stiff and dry but keep folding it and it will all come together. Fold in 1\/4 cup chopped nuts."

16,5,Spoon batter into an 8&quot; x 3&quot; cake pan coated with cooking spray.

16,6,"Bake at 350\u00b0 for about 40-50 minutes, depending on pan size or until a wooden toothpick inserted in the center comes out clean and cake is pulling away from sides of pan. Cool cake completely on a wire rack."

16,7,"To prepare frosting, beat together cream cheese, powdered sugar and vanilla until smooth. Spread frosting over top of cake."

16,8,Garnish with remaining chopped walnuts.

18,0,Preheat the oven to 350F.

18,1,"Heat a medium skillet over medium heat. When hot add the oil and onions and saut\u00e9 until golden and almost crispy, about 10 to 12 minutes, stirring. Set aside."

18,2,"In a medium bowl, beat the eggs with the Parmesan and parsley."

18,3,"Place the artichokes and the onions on the pie crust, pour the eggs over and top with mozzarella."

18,4,"Bake until the eggs are set, about 40 to 45 minutes."

20,0,"In a large bowl add the onions, 1\/4 cup of the olive oil, vinegar, salt, oregano, black pepper, and stir."

20,1,Add the chickpeas and let them sit while you prepare everything else; this will help soften the raw flavor of the onions.

20,2,"Toss in the the broccoli, cherry tomatoes, cheeses, salami, turkey, ham, pepperoncini and the brine."

20,3,Stir to combine and add the remaining olive oil and serve right away or keep refrigerated for up to 4 days.

21,0,Hard boil the eggs using this stove top hard boiled eggs recipe or this instant pot hard boiled eggs recipe.

21,1,Peel and cut the eggs in half lengthwise. Remove yolks and put them in a bowl.

21,2,"Add mayonnaise, mustard, salt and pepper to the yolks and mash."

21,3,"Transfer them to a plastic bag, snip the corner and pipe them into the egg whites."

21,4,Top with chopped chives and paprika.

22,0,"Cook the salmon in the microwave, covered about 2 minutes until cooked through, or use leftover cooked salmon."

22,1,Flake with a fork and let it cool.

22,2,"Add the remaining ingredients and mix well, refrigerate up to 4 days."

22,3,"Serve over toast, in lettuce cups, on a salad, etc."

23,0,Start with the breaded shrimp (see recipe for directions).

23,1,"Preheat oven to 425F or set your broiler to low. Scoop out the inside of the bread to make a longer hero, making sure after its scooped each piece is 3 oz."

23,2,"When shrimp is cooked, divide shrimp equally between 4 pieces of bread."

23,3,Top each sandwich with marinara and shredded mozzarella cheese.

23,4,"Place sandwiches on a sheet pan and heat in the oven or broiler until the cheese melts; 2 - 3 minutes, careful not to burn if using the broiler."

24,0,Combine breadcrumbs and Parmesan in a large shallow bowl.

24,1,Place egg and flour in another shallow bowl and whisk well.

24,2,"Dip asparagus in the egg mixture, then the panko-parmesan and spray generously with olive oil."

24,3,"Place in air fryer basket in an even layer and air fry 380F 6 to 7 minutes, flipping halfway until golden and tender."

24,4,"To bake, preheat the oven to 425F."

24,5,"Spray a sheet pan with oil, and place breaded asparagus on the sheet pan."

24,6,"Spray with oil and bake 12 to 14 minutes, turning halfway, until golden and tender."

25,0,Preheat the broiler. Line a sheet pan with aluminum foil. Adjust the top rack 6 to 8 inches from the heating element.

25,1,Rinse tilapia and pat dry with paper towels.

25,2,"Season the fish with salt, black pepper and oregano. Transfer to the prepared pan arranged in a single layer."

25,3,"Top with crushed garlic, drizzle with olive oil and sprinkle breadcrumbs."

25,4,"Set broiler to low and place fish on the rack. Cook until the breadcrumbs are golden brown and the fish is cooked through and flakes easily with a fork, about 6 to 8 minutes depending on the thickness (be careful not to burn). No need to turn the fish."

25,5,Serve with lemon and your favorite vegetables.

26,0,Preheat\u00a0oven to 375F\u00b0.\u00a0Lightly spray\u00a0a nonstick 6-muffin tin with oil spray.\u00a0

26,1,"Combine\u00a0potatoes, 1\/2 cup onion, garlic powder, salt and pepper.\u00a0Fill\u00a0each muffin tin with 1\/4 cup of potatoes and press along the side of the tin so that it forms a nest."

26,2,Bake\u00a035 minutes or until golden brown and edges are crispy.

26,3,"While nests are baking,\u00a0combine\u00a0the egg whites with remaining ingredients in a medium bowl."

26,4,Remove\u00a0nests from the oven when golden brown.

26,5,Fill each cup with about 3 tbsp of egg mixture.\u00a0Return\u00a0to the oven and\u00a0bake\u00a0an additional 17-20 minutes or until eggs are fully cooked.

27,0,Place tofu on a paper towel or tea towel lined plate.\u00a0 Cover with another towel and place a heavy pan on top to press out excess water from tofu.

27,1,"Transfer to cutting board, flip on its side and slice in half lengthwise. Flip it back over to lay flat on the cutting board and cut into 32 equal cubes. Place in a medium size shallow container so the cubes are in 1 even layer."

27,2,"In a small measuring cup or bowl, add the soy sauce and crushed garlic."

27,3,"Pour \u00bd the marinade (about 2 tablespoons) over the tofu, gently flipping to make sure all sides are covered. Marinate for at least 30 minutes."

27,4,"Meanwhile, peel and dice the cucumber and chop the scallions, separating whites from greens. Transfer the scallion whites and cucumbers to a small bowl and toss with 2 teaspoons of the remaining marinade. Set aside."

27,5,"Sprinkle marinated tofu with the cornstarch, tossing gently to coat."

27,6,"In a large skillet, heat the sesame oil over high heat.\u00a0 Add the tofu and cook for 2- 3 minutes, until the first side is browned."

27,7,"Flip cubes with a spatula, cooking each side for a couple minutes until evenly browned on all sides. Toss with remaining marinade."

27,8,"In 2 shallow bowls, layer each with 1 cup greens, \u00bd cup rice, half the edamame and cucumber\/scallion mixture, 1 ounce avocado and \u00bd the cooked tofu."

27,9,"Garnish with scallion greens, sesame seeds and sriracha mayo, if using."

29,0,"Chop onion, carrot, celery, garlic in a chopper or mini food processor."

29,1,"In a large pot, melt the butter.  Add the chopped vegetables, salt and pepper and saut\u00e9 on low heat until soft, about 5 minutes."

29,2,"Stir in the flour to create a roux, cooking for 2 minutes to remove the raw flour taste."

29,3,"Gradually whisk in the chicken broth, ensuring there are no lumps."

29,4,"Add the milk and increase heat to high until it comes to a boil, then add broccoli florets, Parmesan cheese, and stir well."

29,5,"Adjust salt and pepper to taste. Cook uncovered over low heat until broccoli is cooked, about 10 minutes."

29,6,"Using an immersion blender quickly blend part of the soup for a quick second or two. If you don't have an immersion blender, remove about 1-2 cups of soup and blend, then add it back to the soup. This helps thicken it a bit."

29,7,"Gently stir in the shredded cheddar cheese, allowing it to melt smoothly."

29,8,"Serve the soup hot, garnished with additional cheddar cheese, if desired."

30,0,Season salmon with salt.

30,1,Heat a large skillet over medium-high heat; when hot lightly spray with oil and add the salmon.

30,2,"Cook the salmon until browned on one side, about 4 to 5 minutes then turn and cook an additional 4 to 5 minutes or until salmon easily flakes. Set aside on a dish to cool, then flake the salmon into a large bowl."

30,3,"Add the olive oil to the pan, then add the the onion, celery, red and yellow bell peppers, parsley, capers, hot sauce, Old Bay seasoning, 1\/2 teaspoon kosher salt, and 1\/2 teaspoon pepper in a large saute pan over medium-low heat and cook until the vegetables are soft, approximately 18 to 20 minutes. Set aside to cool to room temperature."

30,4,"To the large bowl with the salmon add the breadcrumbs, mayonnaise, yogurt, mustard, cooled vegetable mixture, and eggs. Mix well."

30,5,"Cover and chill in the refrigerator for 30 minutes, or freeze 10 minutes. This will make them easier to shape and become less sticky."

30,6,Preheat oven to 400\u00b0F. Spray a non-stick baking sheet with cooking spray.

30,7,Shape the salmon into 15 (scant 1\/4 cup each) cakes and place on prepared baking sheet.

30,8,"Bake the salmon cakes for 20 minutes, or until they are golden and cooked through."

31,0,Combine all ingredients in a medium bowl and mix well. Season with salt and pepper to taste.

31,1,"Serve over salad, in a wrap, or in a sandwich"

32,0,Preheat oven to 400\u00b0F.

32,1,"Wash and dry sweet potatoes and pierce them all over with a fork. Bake sweet potatoes 50 to 55 minutes, until soft."

32,2,"Heat a large deep nonstick skillet over high heat and brown the ground turkey, seasoning with 1 teaspoon salt and cook, breaking the meat up with a wooden spoon as it cooks about 5 to 6 minutes."

32,3,"Reduce heat to medium low, push the meat to the side and add the oil, onion, celery garlic, and tomato paste. Cook until the vegetables are tender, about 5 minutes then mix."

32,4,"Add the frozen vegetables, mushrooms, Worcestershire sauce, fresh thyme and mix well."

32,5,"Whisk together the broth and flour in a small bowl and pour over meat. Simmer, covered on low about 5 minutes, until it thickens and the flavors meld."

32,6,"When the potatoes are ready, cut them open and top each with a scant cup of the turkey mixture. Eat hot."

33,0,"Marinate chicken in vinegar, soy sauce, garlic, jalape\u00f1o and pepper, for at least an hour (overnight is ideal)."

33,1,"Put chicken, 1\/2 cup water, bay leaves and marinade into a deep nonstick skillet and cook on medium-low heat. Cover and cook until the meat is tender, about 45 minutes."

33,2,"Remove the cover and cook an additional 15 minutes, until the sauce reduces."

33,3,Discard bay leaves and serve over rice if you wish.

34,0,Bring a large pot of salted water to a boil.

34,1,"While the water is heating up, heat 2 teaspoons of the olive oil in a large heavy skillet over medium heat."

34,2,"Stir in the garlic and cook until golden, about one minute."

34,3,Add the shrimp and cook 2-3 minutes to brown but not cook through; sprinkle with salt to taste.

34,4,"Transfer the shrimp to a plate, leaving garlic in the pan."

34,5,"Pour the remaining teaspoon of olive oil and add the celery and onions; cook 2 minutes then add the crushed tomatoes, season with salt and crushed red pepper and bring to a simmer."

34,6,Lower the heat and let it simmer about 8-10 minutes.

34,7,"Meanwhile, add pasta to water and cook according to package directions for al dente."

34,8,"Once the sauce is ready, add the shrimp and cook another minute or two; remove from heat and add the capers."

34,9,"Serve in a large bowl over pasta topped with fresh basil and fresh black pepper. Optional, Parmesan cheese on the side."

36,0,Season pork chops on both sides with 1\/2 teaspoon kosher salt.

36,1,Combine mustard and honey and marinate the pork chops at least 4 hours or overnight for best results.

36,2,Place panko in a large shallow bowl.

36,3,"Leaving whatever mustard that clings to the pork, press into the panko crumbs."

36,4,Discard the rest of the marinade (about 2 tbsp tossed).

36,5,"Lightly spray the basket with oil and transfer the chops, in batches as needed."

36,6,"Spritz the top with oil and air fry 400F 10 to 12 minutes turning half way, spritzing both sides with oil."

36,7,"Although they come out much crisper in the air fryer, if you don\u2019t have one you can bake them 425F 20 to 25 minutes."

37,0,"In a large mason jar or container, add the chia seeds, almond milk, yogurt and sweetener of your choice."

37,1,"Whisk until thoroughly combined, scraping sides of the jar with a spoon or spatula, if needed, to incorporate all the chia seeds."

37,2,Refrigerate for at least 2 hours or up to overnight.

37,3,"Meanwhile, in a small skillet over medium low heat, toast the coconut until golden brown, about 4 minutes. Let cool and store in a zip top bag or small Tupperware container until ready to use."

37,4,"When ready to eat, transfer pudding into 2 small serving bowls, about 1 cup each."

37,5,"Top each with kiwi, mango and shredded coconut, dividing the fruit evenly among the 2 bowls."

37,6,"Optional: Drizzle with a little extra syrup (or honey), if desired and serve."

38,0,"Place the short ribs in the Instant Pot with the mushrooms, ginger, 3 whole scallions, cilantro stems, peppercorns, star anise, and beef broth."

38,1,"Cover and cook high pressure, 1 hour then natural or quick release."

38,2,"As it cooks, prep your garnishes and set them aside."

38,3,"Divide the short ribs and mushrooms into 5 soup bowls, then strain the remaining broth, discard the remaining ingredients."

38,4,"Return the soup to the Instant Pot and press the \u201cSaute\u201d button to bring the soup to a simmer \u2013 as it heats, add the stems of the Swiss chard and simmer 3 minutes, then add the leaves and cook until bright green, about 2 to 3 minutes."

38,5,"Ladle the soup into the soup bowls, about 1 3\/4 cups."

38,6,"Garnish with lime wedges, crushed red pepper flakes, ginger sticks, cilantro leaves, and scallions."

38,7,"Place the short ribs in a large pot or Dutch oven with the mushrooms, ginger, 3 whole scallions, cilantro stems, peppercorns, star anise, and beef broth."

38,8,"Bring to a boil, then cover and cook on low heat until the meat is tender, about 2 hours."

38,9,"As it cooks, prep your garnishes and set them aside."

38,10,"Divide the short ribs and mushrooms into 5 soup bowls, then strain the remaining broth, discard the remaining ingredients."

38,11,"Bring the soup to a simmer over high heat \u2013 as it heats, add the stems of the Swiss chard and simmer 3 minutes, then add the leaves and cook until bright green, about 2 to 3 minutes."

38,12,"Ladle the soup into the soup bowls, about 1 3\/4 cups."

38,13,"Garnish with lime wedges, crushed red pepper flakes, ginger sticks, cilantro leaves, and scallions."

39,0,In a large heavy skillet melt the butter over medium heat. Add the rice and saute about 2-3 minutes.

39,1,"Add the chicken broth and peas and bring to a boil. When just about all the liquid is absorbed just skimming the top of the rice, cover and reduce heat to low."

39,2,"Cook, covered on low heat 20 minutes, until rice is cooked through. Shut off and let stand covered 5 minutes."

39,3,"Meanwhile, in second large skillet, heat 2 teaspoons of the olive oil over medium heat until hot."

39,4,"Season shrimp with salt and pepper and add to hot skillet. Cook about 2-3 minutes, until the shrimp is opaque and cooked through. Remove shrimp from pan and set aside."

39,5,"Add the 2 remaining teaspoons of olive oil to the skillet on high heat and add the cooked rice, shrimp, grated cheese and parsley and saute another minute or two to slightly crisp, mixing well."

40,0,Preheat the broiler with a rack about 6 inches below it. Line a rimmed baking sheet with nonstick foil.

40,1,"In a small bowl, combine the honey, sriracha, soy sauce, and ginger; stir with a fork until the honey dissolves."

40,2,"Cut the salmon into 1-inch cubes and\u00a0 place them on the baking sheet, leaving a bit of space between each piece."

40,3,"Brush the salmon with the glaze and cook under the broiler for 3 to 4 minutes, or until it\u2019s easily flaked with a fork and golden on top."

40,4,"Meanwhile, combine the sliced cucumber with the rice vinegar, sesame oil, and salt."

40,5,"Place 3\/4 cup rice in each bowl. Divide and top with salmon, sliced avocado, cucumber, and a drizzle of sriracha, if desired, plus a sprinkle of furikake seasoning."

40,6,"If you\u2019d like a little more acidity, add just a dash of rice vinegar."

41,0,"Place the dried porcini in a small pot and cover with four cups of water: bring to a boil. Shut off heat, cover pot, and allow porcini to soak for 20 minutes."

41,1,"Meanwhile, heat the olive oil in a heavy-bottomed pot or Dutch oven."

41,2,"Add the Canadian bacon or pancetta, onions, carrots, and celery and saut\u00e9 over medium heat for 10 minutes, stirring occasionally, until the vegetables are tender."

41,3,"Add the garlic and farro and saut\u00e9 for 2 minutes, then add cremini mushrooms and Marsala and continue cooking for 5 minutes more."

41,4,Strain the porcini soaking liquid directly into the soup pot. Add the broth and the thyme.

41,5,"Rinse the porcini under cold water, then coarsely chop them and add to the soup."

41,6,"Add the salt and 1 teaspoon pepper, bring soup to a boil then partially cover and lower the heat to gentle simmer for 45 minutes."

41,7,"Just before serving, mash butter and flour together and add to the soup. Swirl until combined."

41,8,"Add another tablespoon or two of Marsala wine and more salt to taste, if desired. Sprinkle with parsley and serve."

42,0,Chop meat into small chunks.

42,1,"In a large pot, combine chicken, pork, water and bouillon, bay leaves and cumin and bring to a boil, then simmer about 15 minutes on medium heat."

42,2,Add the vegetables and remaining ingredients.

42,3,"Reduce to low, cover and simmer for about 45 minutes."

43,0,Place tofu on a paper towel or tea towel lined plate.\u00a0 Cover with another towel and place a heavy pan on top to press out excess water from tofu.

43,1,Crumble the tofu into small bowl with your fingers into small (ground meat-size) pieces. Set aside.

43,2,"In a small bowl or measuring cup, whisk together the Gochujang with the soy sauce and 1 tablespoon vinegar."

43,3,Heat a large skillet over medium high heat.

43,4,"Add 1\/2 tablespoon of the sesame oil, swirling to coat the bottom of the pan."

43,5,"Add the garlic and ginger and saut\u00e9 for 30 seconds.\u00a0 Add the crumbled tofu and cook, stirring often, for 5 minutes, or until some of the pieces just start to brown."

43,6,"Add the gochujang sauce and mix to evenly coat.\u00a0Cook an additional 4-5 minutes, stirring often, until the pieces brown a little on the edges."

43,7,"Meanwhile, prepare the slaw: In a small mixing bowl, combine the remaining 2 tablespoons vinegar, 2 teaspoons sesame oil and 1 teaspoon honey with 1\/4 teaspoon salt. Whisk to combine until smooth and combined.\u00a0 Add the coleslaw mix and scallion whites and toss to evenly coat with dressing."

43,8,Divide the rice into 2 medium serving bowls.

43,9,Add 1 1\/2 cups slaw and 1 cup tofu to each bowl. Top each with scallion greens and serve immediately.

44,0,"Combine maple syrup, soy sauce, sriracha and garlic in a small bowl, pour into a gallon sized resealable bag and add the salmon."

44,1,"Marinate 20 to 30 minutes, turning once in a while."

44,2,Lightly spray the basket with oil.

44,3,"Remove the fish from the marinade, reserving and pat dry with paper towels."

44,4,"Place the fish in the air fryer, in batches, air fry 400F 7 to 8 minutes, or longer depending on thickness of the salmon."

44,5,"Meanwhile, pour the marinade in a small saucepan and bring to a simmer over medium-low heat and reduce until it thickens into a glaze, 1 to 2 minutes. Spoon over salmon just before eating."

44,6,Use this skillet version if you don&#39;t have an air fryer.

45,0,Preheat oven to 350F. Spray a 9 x 13 inch baking dish with olive oil spray.

45,1,"In a large skillet, over medium heat add 1 teaspoon olive oil and garlic and cook 30 seconds. Add the broccoli, 1\/4 teaspoon kosher salt, 1 tablespoon of water and cover."

45,2,"Let the broccoli cook until tender crisp, 3 minutes. Transfer to the baking dish."

45,3,"Pound the thicker end of the chicken breast to make it even on both sides. Brush mayo on the chicken and season with 1\/2 teaspoon salt and black pepper, to taste.\u00a0"

45,4,"Heat the skillet over medium heat, when hot spray with oil and cook the chicken until just about cooked through, about 5 minutes on each side."

45,5,"Remove from heat and transfer chicken to a cutting board. When cooled, slice chicken into bite sized pieces."

45,6,"Reduce the heat of the skillet to medium heat. Add the butter and remaining oil until melted and then add the shallots and cook until tender, 2 to 3 minutes."

45,7,"Sprinkle the flour cook, stirring about 1 minute. Whisk in broth, milk, 1\/2 teaspoon salt and sherry and bring to a simmer about 1 1\/2 minutes on low. Remove from heat and stir in half of the Swiss cheese."

45,8,Pour half of the sauce over the broccoli and mix to coat. Arrange the chicken on top and cover with remaining sauce.

45,9,"Sprinkle the remaining Swiss cheese, grated Parmesan and top with breadcrumbs."

45,10,"Spritz a little oil on top. Bake 30 minutes, until hot and golden."

46,0,Season the beef with salt on both sides.

46,1,Beat the eggs in a shallow bowl with water.

46,2,"Dip the beef in the egg, then into the breadcrumbs, patting it with the back of a fork so it sticks."

46,3,Transfer to the air fryer basket in batches as needed.

46,4,"Spray the top of the beef with oil then air fry 400F in a single layer 5 minutes on each side, spraying the other side when you flip. Serve with rice and lime wedges, if desired."

47,0,Preheat oven to 425F. Line a sheet pan with foil and spray.

47,1,"Season chicken with salt. Place egg in a shallow bowl. In a second shallow bowl, add the breadcrumbs."

47,2,"Dip chicken in the egg, then into the breadcrumb mixture and shake off excess and place on a sheet pan."

47,3,Spray both sides of the chicken generously with oil.

47,4,"Bake the chicken 18 minutes flipping halfway until cooked through. It\u2019s ok if it\u2019s not crispy, it\u2019s going to get covered in marinara anyway."

47,5,"Transfer to a 9x13-inch baking pan, arrange the chicken strips. Spread the marinara sauce over the chicken and top with the mozzarella and Parmesan."

47,6,"Bake 8 to 10 minutes, until marinara is hot and the cheese is melted. Top with basil."

49,0,Preheat the oven to 350F. Spray a nonstick 12 cup muffin tin VERY generously with oil so the eggs don&#39;t stick.

49,1,"Saut\u00e9ed the shallots, scallions and bell pepper in oil over medium-low heat, cook until tender, 5 to 6 minutes."

49,2,Add the broccoli and cook 1 more minute.

49,3,"Meanwhile, in a large bowl combine the egg whites, cottage cheese, garlic powder and seasoning salt."

49,4,Add the veggies and mix.

49,5,"Using 12 cup muffin tin, line each cup with a half slice turkey bacon around the edges and pour in the egg mixture, about 1\/3 cup each."

49,6,"Top with the shredded cheese and bake in the center of the oven about 25 minutes, until set."

50,0,"To make the shredded chicken, place chicken in the slow cooker and add enough water or chicken broth to cover. Cook high 4 hours. Remove and shred with two forks, discard the liquid."

50,1,"Meanwhile, combine the cream cheese, sour cream, vinegar and hot sauce together until smooth. Add half of the blue cheese."

50,2,"Transfer to the slow cooker with the chicken, mixing well and return to the slow cooker, cook low 2 to 3 hours."

50,3,"Transfer to a serving dish and top with the remaining blue cheese, garnish with scallions. Serve hot."

50,4,"Buy a rotisserie chicken and remove the breast meat from the bones, removing the skin and shred. Save the rest of the chicken for another recipe."

50,5,"Preheat the oven to 350F. Place chicken in a large bowl, then mix the cream cheese, sour cream, vinegar and hot sauce together until smooth. Add half of the blue cheese and place them in a baking dish. Bake 350F until hot, about 20 to 25 minutes."

51,0,Place 1\/3 cup of the walnuts in a food processor fitted with a metal blade.

51,1,Process until nuts resemble coarse sand. Transfer to a small bowl and set aside.

51,2,Add remaining walnuts to the food processor and process until finely ground.

